title,rating,vote_count,meta_score,year,duration,age_restriction,intro
Deadpool & Wolverine,8.2,103000,56.0,2024,128,15,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
Inside Out 2,7.8,89000,73.0,2024,96,U,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced."
Deadpool,8.0,1100000,65.0,2016,108,15,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
Deadpool 2,7.6,662000,66.0,2018,119,15,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable."
Maharaja,8.7,28000,,2024,150,15,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
Furiosa: A Mad Max Saga,7.6,145000,79.0,2024,148,15,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Logan,8.1,845000,77.0,2017,137,15,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Oppenheimer,8.3,775000,90.0,2023,180,15,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
Dune: Part Two,8.5,485000,79.0,2024,166,12A,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Gladiator,8.5,1600000,67.0,2000,155,15,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Inside Out,8.1,815000,94.0,2015,95,U,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Top Gun: Maverick,8.2,719000,78.0,2022,130,12A,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
